First_pokemon,Second_pokemon,Winner
266,298,1
702,701,1
191,668,1
237,683,1
151,231,0
657,752,0
192,134,1
73,545,1
220,763,1
302,31,1
442,130,1
701,624,0
15,283,1
151,87,0
269,462,0
763,448,1
143,263,1
365,240,1
499,774,0
563,578,0
440,687,1
373,441,1
654,671,1
121,355,0
609,649,1
270,708,0
460,568,1
626,767,1
139,451,0
694,747,0
455,549,1
181,301,1
208,184,1
536,365,0
260,381,1
471,269,1
621,287,1
406,134,0
592,503,1
564,242,1
579,242,1
200,719,0
376,135,0
76,441,1
667,645,1
475,400,0
3,737,1
435,45,0
231,146,1
510,715,1
456,260,1
164,751,1
424,754,0
258,779,0
360,208,1
723,646,1
384,533,1
734,673,1
141,721,0
244,741,0
509,217,0
633,44,0
595,719,0
606,40,0
368,598,0
746,584,0
350,187,0
303,198,0
169,701,1
569,115,1
231,172,1
71,440,0
659,610,1
570,557,1
712,40,0
451,352,0
661,95,1
540,4,0
130,319,0
125,418,1
309,276,1
579,612,1
716,80,1
482,535,1
376,37,1
6,328,1
343,159,1
509,574,1
546,530,0
486,229,1
686,213,1
304,386,1
514,732,1
161,757,0
150,265,1
436,701,1
221,265,1
436,603,1
242,365,0
792,251,0
607,295,0
439,209,1
657,360,0
436,40,1
325,408,1
472,89,0
71,777,0
47,615,0
5,670,0
793,314,1
195,461,0
493,568,0
400,341,1
63,297,0
541,446,0
141,152,0
54,115,1
378,161,1
224,316,1
311,398,1
298,35,0
356,132,0
103,370,0
503,453,0
600,598,0
445,45,0
360,548,1
303,133,1
51,331,0
171,559,0
758,129,0
6,255,0
698,154,1
92,491,1
381,73,0
354,271,1
219,49,0
736,244,1
683,245,1
533,452,0
200,588,1
403,636,0
56,561,1
54,119,1
629,141,0
547,779,0
380,547,1
407,307,1
153,559,0
306,268,0
89,382,0
54,32,1
172,745,1
16,110,1
537,734,0
278,94,0
342,643,1
435,165,1
638,691,1
734,718,1
298,781,0
42,113,0
97,316,0
416,397,1
483,400,0
275,155,1
154,461,0
309,4,1
539,30,1
545,266,0
283,340,1
232,254,1
384,427,1
161,781,0
496,420,0
268,159,1
473,593,0
550,475,0
199,785,1
385,732,1
488,196,0
30,587,0
36,494,1
513,184,1
129,106,0
6,604,0
137,315,0
83,509,1
585,534,0
743,57,1
220,723,1
764,665,0
708,439,0
28,545,1
23,796,0
698,147,1
306,635,1
158,666,0
55,750,1
513,439,0
769,264,1
232,499,1
23,623,0
97,250,1
324,544,1
517,10,0
586,461,1
779,349,1
669,226,1
623,53,0
538,718,1
438,242,0
523,759,0
14,103,1
378,152,1
478,361,0
137,698,0
354,739,1
233,684,1
291,605,0
96,264,1
730,137,1
129,744,0
611,107,0
58,560,1
658,146,0
625,753,0
524,27,0
794,474,0
365,391,1
592,585,0
512,586,0
526,424,1
70,456,0
540,288,0
347,389,0
689,128,1
211,701,1
336,385,0
594,80,1
785,490,1
425,308,0
27,731,1
459,399,0
421,494,0
578,768,1
63,82,0
257,221,0
4,150,0
546,333,0
308,544,1
213,442,0
575,302,1
209,645,0
92,768,0
116,672,0
132,69,1
568,396,0
644,218,0
321,163,1
17,164,1
715,190,0
51,57,0
237,448,1
580,676,0
789,726,1
420,718,0
83,499,1
526,159,1
115,56,1
358,636,0
54,532,1
534,798,0
768,179,0
94,724,1
795,437,0
313,432,1
305,251,0
269,289,0
593,733,1
568,428,1
290,287,1
762,733,0
217,100,1
668,87,0
165,49,0
123,771,1
261,154,1
225,640,1
313,103,1
106,505,1
453,614,1
107,48,1
722,590,1
559,431,1
141,727,1
490,239,0
490,340,1
373,128,1
3,730,0
502,91,0
714,104,0
788,276,1
459,16,1
432,143,0
724,2,0
648,533,0
250,357,0
155,439,0
447,20,1
366,371,0
337,770,0
358,765,0
198,110,0
152,760,1
164,577,0
174,646,1
438,59,1
614,443,0
789,127,1
504,421,1
565,214,1
158,635,1
386,21,1
408,404,1
349,440,0
410,295,0
83,569,1
249,411,0
173,609,0
770,572,1
51,473,1
452,106,1
550,769,0
525,740,0
464,762,1
147,798,1
572,45,0
569,741,0
193,28,1
247,445,0
511,280,1
435,44,1
794,359,0
196,758,1
470,410,1
631,164,1
451,790,0
211,442,1
773,582,0
403,59,1
401,413,1
228,679,1
753,196,1
578,434,1
210,40,1
38,716,1
18,458,1
538,742,0
702,627,0
403,412,0
517,136,1
465,89,0
505,502,0
601,644,1
459,84,1
548,525,1
707,521,1
14,62,1
728,501,0
182,246,1
741,117,0
29,431,1
719,574,1
209,477,1
492,37,1
425,43,0
207,284,1
749,512,1
539,153,1
152,159,1
738,18,0
182,579,1
69,302,0
173,713,1
488,199,0
683,506,0
2,619,0
735,255,0
70,800,0
120,67,1
738,610,1
68,397,1
540,714,0
184,197,0
577,58,1
750,29,1
391,640,0
211,737,0
462,694,1
337,147,1
459,644,1
615,652,0
786,180,0
247,594,1
536,720,0
729,586,1
715,80,0
